item,t_id
CANDY,131
SPIRITS,132
WINE,132
BEER,132
SPIRITS,133
WINE,133
LAWN & GARDEN,134
WINE,134
STATIONERY SUNDRIES,135
HEALTH AIDS,135
BEAUTY CARE,135
HOUSEHOLD CLEANING,135
PET SUPPLIES,135
CANDY,135
TOBACCO,136
PET SUPPLIES,137
SPIRITS,138
SPIRITS,139
TOBACCO,140
AMERICAN GREETINGS,141
HOUSEHOLD CLEANING,141
PET SUPPLIES,141
SPIRITS,141
TOBACCO,141
BEVERAGES,142
TOBACCO,142
SPIRITS,143
BEER,143
SPIRITS,144
TOBACCO,144
SPIRITS,145
TOBACCO,145
CANDY,146
SPIRITS,146
MENS SHOES,147
GEN SPORTING GOODS,148
SPORTS NUTRITION,148
CANDY,148
HEALTH AIDS,149
HOUSEHOLD CLEANING,149
SEASONAL,150
GENERAL HARDWARE,150
SEASONAL GIFTS,151
WINE,151
BEER,151
SPIRITS,152
TOBACCO,152
LAWN & GARDEN,153
SPIRITS,153
WINE,153
BEER,153
BEAUTY RETAIL,154
WINE,154
TOBACCO,154
SMALL ELECTRICS,155
CANDY,155
SPIRITS,155
WINE,155
TOBACCO,155
SPIRITS,156
TOBACCO,156
MENS ATHLETIC SHOES,157
GENERAL GROCERIES,157
SPIRITS,157
BEVERAGES,158
BEER,158
BEER,159
TOBACCO,159
LDS OUTERWEAR/OUTDR,160
SLEEPWEAR/LOUNGEWEAR,160
MENS ACTIVEWEAR,160
BOYS 8-20 CLOTHING,160
BEAUTY CARE,160
OUTDOOR LIVING,160
GENERAL HOUSEWARES,160
AS SEEN ON TV,160
SPIRITS,160
WINE,160
BEER,160
TOBACCO,160
PET SUPPLIES,161
TOBACCO,161
BEVERAGES,162
SPIRITS,162
PET SUPPLIES,163
SPIRITS,163
TOBACCO,163
HOUSEHOLD CLEANING,164
VIDEO GAMES,164
MASS COSMETICS,165
WINE,165
BEER,165
BEVERAGES,166
BEAUTY CARE,167
WINE,168
BEAUTY CARE,169
PET SUPPLIES,169
BEER,169
TOYS,170
BIKES,170
AUTOMOTIVE,171
PET SUPPLIES,171
TOBACCO,172
PET SUPPLIES,173
WINE,173
SEASONAL,174
HOUSEHOLD CLEANING,175
COMPUTER SOFTWARE,176
SPIRITS,176
CANDY,177
SPIRITS,177
WINE,177
TOBACCO,177
SPORTS NUTRITION,178
HOUSEHOLD CLEANING,178
HEALTH AIDS,179
PERSONAL CARE,179
GENERAL GROCERIES,179
BEVERAGES,179
SPIRITS,180
SMALL ELECTRICS,181
BEVERAGES,182
SPIRITS,182
BEER,182
TOBACCO,182
SPIRITS,183
SPIRITS,184
TOBACCO,184
WINE,185
PET SUPPLIES,186
SCHOOL/OFFIC SUPP,187
AMERICAN GREETINGS,187
SPORTS NUTRITION,187
BEVERAGES,187
CANDY,187
WINE,188
BEER,189
SPIRITS,190
HEALTH AIDS,191
SPORTS NUTRITION,191
GENERAL GROCERIES,191
SPIRITS,192
WINE,192
BEVERAGES,193
TOBACCO,193
SPIRITS,194
SPIRITS,195
WINE,195
BEVERAGES,196
SPIRITS,196
WINE,196
WINE,197
HOUSEHOLD CLEANING,198
BEVERAGES,198
CANDY,198
TOBACCO,198
HOUSEHOLD CLEANING,199
BATTERIES,199
SPIRITS,199
TOBACCO,199
CANDY,200
BEER,200
HEALTH AIDS,201
PERSONAL CARE,201
HOUSEHOLD CLEANING,201
GENERAL GROCERIES,201
BEVERAGES,201
CANDY,201
STATIONERY SUNDRIES,202
SPORTS NUTRITION,202
GLUES/TAPES/ACC,202
SPIRITS,203
AMERICAN GREETINGS,204
BEVERAGES,204
BATTERIES,205
GENERAL HARDWARE,205
POWER EQUIPMENT,205
MISSY KAREN SCOTT,206
PRESTIGE COSMETICS,206
SPIRITS,206
WINE,206
GENERAL GROCERIES,207
BEER,207
PET SUPPLIES,208
SPIRITS,208
SOUVENIR,209
AMERICAN GREETINGS,209
BEAUTY CARE,209
SEASONAL,209
GENERAL HARDWARE,209
CANDY,209
SPIRITS,210
SPIRITS,211
WINE,211
MENS ACTIVEWEAR,212
SPIRITS,212
SPIRITS,213
TOBACCO,213
WINE,214
MENS OUTDOOR,215
HEALTH AIDS,215
PERSONAL CARE,215
SPIRITS,216
GENERAL HARDWARE,217
GENERAL GROCERIES,217
HEALTH AIDS,218
SPIRITS,219
HOUSEHOLD CLEANING,220
GENERAL HARDWARE,221
CANDY,221
SPIRITS,221
PERSONAL CARE,222
BEVERAGES,222
PET SUPPLIES,223
SPIRITS,224
BEER,224
TOYS,225
SPIRITS,225
WINE,225
PERSONAL CARE,226
TEAM SPORTING GOODS,226
GENERAL GROCERIES,227
SPIRITS,227
MENS OUTDOOR,228
SPORTS NUTRITION,228
SEASONAL,228
TOBACCO,228
BEVERAGES,229
SPIRITS,229
GIRLS ACCESSORIES,230
AMERICAN GREETINGS,230
HEALTH AIDS,230
FLOOR CARE,230
CANDY,230
WINE,230
SPIRITS,231
BEER,231
PERSONAL CARE,232
SEASONAL,232
CANDY,232
TOYS,233
WINE,233
SPIRITS,234
WINE,234
BEER,234
GENERAL GROCERIES,235
CANDY,235
PERSONAL CARE,236
TOBACCO,236
WINE,237
STATIONERY SUNDRIES,238
AMERICAN GREETINGS,238
SPIRITS,238
WINE,238
WINE,239
BEER,239
WINE,240
HOUSEHOLD CLEANING,241
SPIRITS,242
HEALTH AIDS,243
TOBACCO,243
PET SUPPLIES,244
LAWN & GARDEN,244
SPIRITS,244
BEER,244
SPIRITS,245
TOBACCO,245
BEER,246
TOBACCO,246
MENS OUTDOOR,247
MENS ACTIVEWEAR,247
SPIRITS,247
WINE,247
AMERICAN GREETINGS,248
HEALTH AIDS,248
GENERAL GROCERIES,248
BEVERAGES,248
WINE,248
SPIRITS,249
WINE,249
MENS ACTIVEWEAR,250
MASS COSMETICS,250
HEALTH AIDS,250
MENS DENIM JEANS,251
AMERICAN GREETINGS,251
OUTDOOR LIVING,251
CANDY,251
BEVERAGES,252
DIGITAL FITNESS,253
BEVERAGES,253
SPIRITS,253
WINE,253
AMERICAN GREETINGS,254
BEVERAGES,254
TOBACCO,254
TEAM SPORTING GOODS,255
TOBACCO,255
HEALTH AIDS,256
SUNGLASSES,257
HEALTH AIDS,257
GEN SPORTING GOODS,258
HOUSEHOLD CLEANING,258
GENERAL GROCERIES,258
BEER,258
TOBACCO,259
STATIONERY SUNDRIES,260
SPIRITS,261
SPORTS NUTRITION,262
SEASONAL,263
VIDEO GAMES,263
SPIRITS,264
SPIRITS,265
HEALTH AIDS,266
SMALL ELECTRICS,266
HOUSEHOLD CLEANING,266
AS SEEN ON TV,266
GENERAL HARDWARE,266
TOBACCO,266
TOYS,267
SPIRITS,267
BEER,268
LAWN & GARDEN,269
TOBACCO,269
AMERICAN GREETINGS,270
MISSY KAREN SCOTT,271
MISSY TOPS,271
HOSIERY,271
WINE,271
BEER,271
NAVY PRIDE SOFTLINES,272
BEAUTY CARE,272
HOUSEHOLD CLEANING,272
PET SUPPLIES,272
WMNS PRESTIGE FRAG,273
CANDY,273
PET SUPPLIES,274
HOUSEHOLD CLEANING,275
CANDY,275
SPIRITS,276
PERSONAL CARE,277
FITNESS/EXERCISE,277
PET SUPPLIES,277
HEALTH AIDS,278
BEVERAGES,278
VALUE ZONE,279
WINE,279
FISHING,280
TOYS,280
BEVERAGES,281
HEALTH AIDS,282
VITAMINS & HLTH AIDS,282
AUDIO ELECTRONICS,282
GENERAL GROCERIES,282
AMERICAN GREETINGS,283
TEAM SPORTING GOODS,283
TOBACCO,283
JUNIOR DRESSES,284
DAYWEAR,284
MENS SPORT SHIRTS,284
INFANT APPAREL,284
AMERICAN GREETINGS,284
GENERAL HOUSEWARES,284
BATTERIES,284
PET SUPPLIES,284
SPIRITS,284
BEER,284
SPIRITS,285
TOYS,286
BIKES,286
SEASONAL,286
SPIRITS,287
WINE,287
LDS OUTERWEAR/OUTDR,288
BEAUTY CARE,288
PERSONAL CARE,288
SPIRITS,288
VITAMINS & HLTH AIDS,289
SPIRITS,289
BEER,290
BEER,291
HEALTH AIDS,292
SOUVENIR,293
BOYS 8-20 CLOTHING,293
GENERAL HOUSEWARES,293
SPIRITS,293
AUDIO ELECTRONICS,294
VITAMINS & HLTH AIDS,295
SPORTS NUTRITION,295
BEVERAGES,295
CANDY,295
SPIRITS,295
SPIRITS,296
WINE,296
CANDY,297
SPIRITS,298
BEER,298
MENS ACCESSORIES,299
WINE,299
BEER,299
BEVERAGES,300
SPIRITS,300
HEALTH AIDS,301
GENERAL GROCERIES,301
WINE,301
GENERAL GROCERIES,302
BEVERAGES,303
SPIRITS,303
WINE,303
SPIRITS,304
SPIRITS,305
GIRLS ACCESSORIES,306
HEALTH AIDS,306
SMALL ELECTRICS,306
CANDY,306
SPIRITS,306
WINE,306
BEER,306
TOBACCO,307
SEASONAL,308
SEASONAL,309
GENERAL HARDWARE,309
BARBER RETAIL,310
BEAUTY RETAIL,310
WINE,310
HOUSEHOLD CLEANING,311
SPIRITS,311
HEALTH AIDS,312
BEAUTY CARE,312
PERSONAL CARE,312
TOBACCO,312
HEALTH AIDS,313
SPIRITS,313
WINE,313
GENERAL GROCERIES,314
BEVERAGES,314
CANDY,314
CANDY,315
HEALTH AIDS,316
BEAUTY CARE,316
HEALTH AIDS,317
BEAUTY CARE,317
CANDY,317
WINE,317
GENERAL GROCERIES,318
BEVERAGES,318
PET SUPPLIES,319
SPIRITS,320
WINE,320
BEER,320
BEAUTY CARE,321
PERSONAL CARE,321
GENERAL GROCERIES,321
BEVERAGES,321
WINE,321
TOYS,322
SEASONAL,322
GENERAL HARDWARE,322
PET SUPPLIES,322
UNSCANNED ITEMS,322
SPIRITS,323
WINE,323
SPORTS NUTRITION,324
WINE,324
WINE,325
BEAUTY RETAIL,326
AMERICAN GREETINGS,326
BEAUTY CARE,326
BEER,327
TOBACCO,327
GENERAL HOUSEWARES,328
BEVERAGES,328
WINE,328
BEER,328
BEAUTY RETAIL,329
SCHOOL/OFFIC SUPP,329
MASS COSMETICS,329
SEASONAL,329
CANDY,329
SPIRITS,330
MENS ACCESSORIES,331
BEVERAGES,331
CANDY,331
SPIRITS,331
GENERAL GROCERIES,332
BEVERAGES,332
SPIRITS,333
BEER,333
TOBACCO,333
PERSONAL CARE,334
SEASONAL,334
HOUSEHOLD CLEANING,334
BEVERAGES,334
CANDY,334
WINE,334
TOBACCO,334
TOBACCO,335
SEASONAL,336
SPIRITS,336
WINE,336
TOYS,337
LAWN & GARDEN,337
SPIRITS,337
WINE,337
TOBACCO,337
CANDY,338
BEER,338
PERSONAL CARE,339
MENS DENIM JEANS,340
MENS FURNISHINGS,340
YOUNG MENS,340
SPIRITS,340
WINE,341
DIGITAL FITNESS,342
FITNESS/EXERCISE,342
BEVERAGES,342
WINE,343
GIRLS ACCESSORIES,344
TOYS,344
SEASONAL GIFTS,344
PET SUPPLIES,344
SPIRITS,344
WINE,344
BEER,344
SPIRITS,345
BEER,346
SPIRITS,347
AMERICAN GREETINGS,348
PERSONAL CARE,348
TOYS,348
WINE,348
TOBACCO,348
SPIRITS,349
SPIRITS,350
WINE,351
BEER,351
PET SUPPLIES,352
SPIRITS,352
SPIRITS,353
BEAUTY RETAIL,354
BEAUTY CARE,354
PET SUPPLIES,354
CANDY,354
NAVY PRIDE SOFTLINES,355
SPIRITS,355
BEER,355
SPIRITS,356
SPIRITS,357
WINE,357
WINE,358
PERSONAL CARE,359
PET SUPPLIES,359
WINE,360
BEER,360
TOBACCO,360
WINE,361
CANDY,362
SPIRITS,362
WINE,362
BEER,362
HEALTH AIDS,363
BEAUTY CARE,363
VITAMINS & HLTH AIDS,363
HOUSEHOLD CLEANING,363
PET SUPPLIES,363
MENS FURNISHINGS,364
TABLETOP,364
GENERAL HOUSEWARES,364
HOME ORG/SOLUTIONS,364
BATH,364
BEDDING,364
SPIRITS,364
TOBACCO,364
BEVERAGES,365
SPIRITS,366
SPIRITS,367
HEALTH AIDS,368
BEAUTY CARE,368
PERSONAL CARE,368
SPIRITS,368
WINE,369
GEN SPORTING GOODS,370
HEALTH AIDS,371
SPIRITS,371
WINE,371
BEVERAGES,372
LAWN & GARDEN,373
SPIRITS,373
BEER,373
BEVERAGES,374
SPIRITS,374
WINE,375
BEER,375
MENS FURNISHINGS,376
SPIRITS,376
WINE,377
SPIRITS,378
TOBACCO,378
HOUSEHOLD CLEANING,379
GENERAL HARDWARE,379
CANDY,379
WINE,380
BEER,380
SPIRITS,381
BEVERAGES,382
SPIRITS,382
BEER,382
PERSONAL CARE,383
TOBACCO,383
GENERAL GROCERIES,384
TOBACCO,384
SPIRITS,385
CANDY,386
SPIRITS,387
HEALTH AIDS,388
BEAUTY CARE,388
AUTOMOTIVE,388
GLUES/TAPES/ACC,388
PET SUPPLIES,388
BEVERAGES,388
SEASONAL,389
PET SUPPLIES,390
BEVERAGES,391
GLUES/TAPES/ACC,392
PET SUPPLIES,392
HEALTH AIDS,393
SPIRITS,393
WINE,394
BEER,394
HEALTH AIDS,395
PERSONAL CARE,395
FITNESS/EXERCISE,395
GENERAL GROCERIES,395
WINE,395
DIGITAL FITNESS,396
TOYS,396
CANDY,397
WINE,397
SPIRITS,398
BEER,398
MENS ATHLETIC SHOES,399
HEALTH AIDS,399
BEAUTY CARE,399
SPIRITS,400
WINE,400
BEER,400
SCHOOL/OFFIC SUPP,401
SEASONAL,401
THIRD PARTY GIFTCARD,401
CANDY,401
WINE,401
TOBACCO,401
SEASONAL,402
HEALTH AIDS,403
CANDY,403
SPIRITS,403
WINE,403
HEALTH AIDS,404
BEAUTY CARE,404
BEVERAGES,404
SPIRITS,404
BEER,404
TOBACCO,404
GEN SPORTING GOODS,405
HOUSEHOLD CLEANING,405
AMERICAN GREETINGS,406
TOYS,406
BEVERAGES,407
WINE,407
BEER,407
TOBACCO,407
BEVERAGES,408
WINE,408
SPIRITS,409
BEER,409
SPIRITS,410
BEER,410
BEAUTY CARE,411
PET SUPPLIES,411
BEVERAGES,411
CANDY,411
LAWN & GARDEN,412
TOYS,413
BEER,414
INFANT APPAREL,415
WATCHES,415
GENERAL HOUSEWARES,415
BEER,415
GEN SPORTING GOODS,416
TOBACCO,417
GENERAL GROCERIES,418
CANDY,418
SPIRITS,419
PRESTIGE COSMETICS,420
BEAUTY CARE,420
SPORTS NUTRITION,420
SEASONAL,420
PET SUPPLIES,420
FITNESS/EXERCISE,421
FITNESS/EXERCISE,422
MISC CUSTOM SERVICES,423
TOBACCO,423
TOBACCO,424
GIRLS ACCESSORIES,425
TOYS,425
SPIRITS,425
WINE,425
BEER,426
SPIRITS,427
HOUSEHOLD CLEANING,428
GENERAL GROCERIES,428
CANDY,428
TOBACCO,428
WINE,429
TOBACCO,429
TOYS,430
SEASONAL,430
GENERAL GROCERIES,431
SPIRITS,431
SPIRITS,432
PET SUPPLIES,433
SPIRITS,433
TOBACCO,433
GENERAL GROCERIES,434
BEVERAGES,434
PET SUPPLIES,435
BEER,435
SPORTS NUTRITION,436
HOUSEHOLD CLEANING,436
CANDY,436
SEASONAL,437
WINE,437
VENDING RETAIL,438
BEVERAGES,438
SPIRITS,438
BEVERAGES,439
WINE,439
BEER,439
BEER,440
HEALTH AIDS,441
BEAUTY CARE,441
HOUSEHOLD CLEANING,441
AMERICAN GREETINGS,442
FITNESS/EXERCISE,442
TABLETOP,442
GENERAL HOUSEWARES,442
WINE,442
BEER,442
PET SUPPLIES,443
SPIRITS,444
BEER,444
SPIRITS,445
HEALTH AIDS,446
HOUSEHOLD CLEANING,446
BEVERAGES,446
WINE,446
BEER,446
PET SUPPLIES,447
SPIRITS,447
BEER,447
SPIRITS,448
SPIRITS,449
GENERAL GROCERIES,450
BEVERAGES,450
WINE,450
SPORTS NUTRITION,451
SPIRITS,452
WINE,452
WINE,453
SPIRITS,454
TOBACCO,454
PET SUPPLIES,455
SPIRITS,456
HOUSEHOLD CLEANING,457
SPIRITS,457
WINE,457
PET SUPPLIES,458
TOBACCO,458
SPIRITS,459
BEER,460
MASS COSMETICS,461
HEALTH AIDS,462
BEAUTY CARE,462
PET SUPPLIES,462
WINE,462
SPIRITS,463
VALUE ZONE,464
WINE,464
BEER,464
MENS ACTIVEWEAR,465
BEDDING,465
CANDY,465
SPIRITS,466
HEALTH AIDS,467
PERSONAL CARE,467
SEASONAL GIFTS,467
TOBACCO,467
WINE,468
HEALTH AIDS,469
HOUSEHOLD CLEANING,469
BEVERAGES,469
SPIRITS,469
GENERAL GROCERIES,470
BEVERAGES,470
HEALTH AIDS,471
HOUSEHOLD CLEANING,471
GENERAL GROCERIES,471
SPIRITS,471
AMERICAN GREETINGS,472
HEALTH AIDS,472
VITAMINS & HLTH AIDS,472
HOUSEHOLD CLEANING,472
BEER,472
HOUSEHOLD CLEANING,473
GENERAL GROCERIES,473
CANDY,473
SMALL ELECTRICS,474
HOUSEHOLD CLEANING,474
PET SUPPLIES,474
DAYWEAR,475
HEALTH AIDS,475
SPORTS NUTRITION,475
BEAUTY RETAIL,476
AMERICAN GREETINGS,477
MASS COSMETICS,477
PRESTIGE COSMETICS,477
HOME/BATH,477
BEAUTY CARE,477
SPIRITS,477
WINE,477
AMERICAN GREETINGS,478
LAWN & GARDEN,479
SPIRITS,479
WINE,479
MISSY KAREN SCOTT,480
BEVERAGES,481
CANDY,481
BEER,481
PET SUPPLIES,482
MASS COSMETICS,483
BEAUTY CARE,483
BEVERAGES,484
CANDY,484
VITAMINS & HLTH AIDS,485
SPIRITS,485
BEER,485
BEVERAGES,486
SPIRITS,486
TOBACCO,486
HEALTH AIDS,487
HOUSEHOLD CLEANING,487
SPIRITS,488
DENIM COLLECTIONS,489
WOMENS ATHLTIC SHOES,489
MENS FURNISHINGS,489
YOUNG MENS,489
BEVERAGES,489
CANDY,489
SPIRITS,489
WINE,489
JUNIORS SURF,490
MODERATE DENIM,490
YOUNG MENS,490
GIRLS 7-16 CLOTHING,490
BEAUTY CARE,490
BEVERAGES,490
SPIRITS,490
TOBACCO,490
MISSY KAREN SCOTT,491
HANDBAGS,491
FASHION ACCESSORIES,491
MENS FURNISHINGS,491
MENS ACTIVEWEAR,491
MASS COSMETICS,491
SPORTS NUTRITION,491
SEASONAL,491
GENERAL HARDWARE,491
CANDY,491
SPIRITS,491
WINE,491
HEALTH AIDS,492
THIRD PARTY GIFTCARD,492
WINE,492
NAVY PRIDE HARDLINES,493
WATCHES,493
PERSONAL CARE,493
SPIRITS,493
TOYS,494
BEER,495
GENERAL GROCERIES,496
CANDY,496
CANDY,497
HEALTH AIDS,498
HOUSEHOLD CLEANING,498
HEALTH AIDS,499
WINE,499
WINE,500
BEER,500
BEAUTY CARE,501
CANDY,501
GENERAL HARDWARE,502
PERSONAL CARE,503
TOYS,503
HOUSEHOLD CLEANING,503
BEER,504
PET SUPPLIES,505
AMERICAN GREETINGS,506
MASS COSMETICS,506
PRESTIGE COSMETICS,506
TOYS,506
MENS FURNISHINGS,507
HOUSEHOLD CLEANING,507
PET SUPPLIES,507
SPIRITS,507
SPIRITS,508
SPIRITS,509
TOBACCO,509
TOBACCO,510
BEVERAGES,511
CANDY,511
BEER,511
BEVERAGES,512
SPIRITS,512
WINE,512
WINE,513
SPIRITS,514
BEER,514
SPIRITS,515
BEER,515
VITAMINS & HLTH AIDS,516
TOBACCO,516
HOUSEHOLD CLEANING,517
MENS FURNISHINGS,518
MENS SHOES,518
CANDY,518
MASS COSMETICS,519
SPIRITS,519
BEVERAGES,520
MENS SHOES,521
HEALTH AIDS,521
PERSONAL CARE,521
HOUSEHOLD CLEANING,521
BEVERAGES,521
SPORTS NUTRITION,522
GENERAL HARDWARE,522
BEVERAGES,522
BEER,522
SEASONAL,523
SMALL ELECTRICS,524
TOBACCO,524
SPIRITS,525
BEER,526
STATIONERY SUNDRIES,527
BEVERAGES,527
SPIRITS,527
WINE,527
TOBACCO,527
PEGABLES,528
NEWBORN APPAREL,528
BABY CARE,528
PERSONAL CARE,528
HOUSEHOLD CLEANING,528
PET SUPPLIES,528
SPIRITS,528
BEER,528
GEN SPORTING GOODS,529
HOUSEHOLD CLEANING,529
GENERAL GROCERIES,529
PERISHABLES,529
SPIRITS,530
BEER,530
TOBACCO,530
PET SUPPLIES,531
SPIRITS,531
TOBACCO,531
BEVERAGES,532
SPIRITS,532
TOBACCO,532
HEALTH AIDS,533
PERSONAL CARE,533
HOUSEHOLD CLEANING,533
BEVERAGES,533
PERISHABLES,533
SPIRITS,533
BEVERAGES,534
SPIRITS,534
TOBACCO,534
PET SUPPLIES,535
HEALTH AIDS,536
PERSONAL CARE,536
HOUSEHOLD CLEANING,536
GENERAL GROCERIES,536
HEALTH AIDS,537
TOBACCO,537
SPORTS NUTRITION,538
BEER,538
BEER,539
SPIRITS,540
PC HDWR & OFFICE EQP,541
BEER,542
BEAUTY CARE,543
AMERICAN GREETINGS,544
HOME/BATH,544
WINE,544
HEALTH AIDS,545
PERSONAL CARE,545
BEVERAGES,546
SPIRITS,546
SPIRITS,547
BEER,547
HOUSEHOLD CLEANING,548
BEAUTY CARE,549
PERSONAL CARE,549
BEVERAGES,549
SPIRITS,550
GIRLS 7-16 CLOTHING,551
SEASONAL,551
BEVERAGES,552
MENS ACCESSORIES,553
HEALTH AIDS,553
PERSONAL CARE,553
VITAMINS & HLTH AIDS,553
HOUSEHOLD CLEANING,553
SPIRITS,553
TOBACCO,554
TEAM SPORTING GOODS,555
TOBACCO,555
